,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_resampler,param_selector,param_selector__estimator__C,param_resampler__k_neighbors,param_classifier__max_depth,param_classifier__min_samples_leaf,param_selector__threshold,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25,5.198164272308349,0.41108843304152365,0.05419535636901855,0.007962581655402012,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),passthrough,,7.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 7, 'selector': 'passthrough'}",0.8930105372708577,0.9023163299464533,0.8909288968112499,0.8943043627000846,0.8988304614775203,0.8958781176412332,0.004131862060476931,194
46,32.70195140838623,2.3001304036468864,0.064723539352417,0.007163164956857955,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",1.0,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 1}",0.8932641457658053,0.9021062203517393,0.8909007184140874,0.8943880876501198,0.8985183384648626,0.895835502129323,0.003989448341994171,195
55,18.341272926330568,1.581007257288567,0.07708063125610351,0.006005992299382889,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,7.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 7, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.8930010809881977,0.9023173206046365,0.8908783017339167,0.8941367327463585,0.8988058841534778,0.8958278640453174,0.004155248363134834,196
45,7.239658641815185,0.2771605236513945,0.07938532829284668,0.013257758505442458,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",0.1,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 0.1}",0.8927480128522589,0.9028108484996347,0.8909786816471309,0.8942787050541061,0.8982528493491061,0.8958138194804472,0.004243620771137124,197
26,4.648154020309448,0.37549123608786383,0.05105843544006348,0.007676601073143453,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),passthrough,,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': 'passthrough'}",0.8933602396095941,0.9014044741185597,0.8907746808548949,0.894744593888979,0.8987677127784078,0.8958103402500871,0.0038088596721015068,198
59,17.174676275253297,3.474767220897365,0.06519193649291992,0.007845603504043586,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,3.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 3, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.8933417773434492,0.9015288467504925,0.8907681989232791,0.8946425034660327,0.8987437656421613,0.895805018425083,0.0038519344297290926,199
63,16.172691583633423,1.9849780005039714,0.0671584129333496,0.007638631599896473,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",10.0,5.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 10}",0.8930884390280057,0.9019530285726532,0.890580312933254,0.8945926286033239,0.8987969714975064,0.8958022761269486,0.004071781294178087,200
27,4.8942484855651855,0.6463648545995495,0.05746369361877442,0.004286140178737905,"LogisticRegression(max_iter=2000, random_state=42)",1.0,SMOTE(random_state=42),passthrough,,5.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': 'passthrough'}",0.8930990660885185,0.9018789093285688,0.8905802229064261,0.8945944291398837,0.8987635715443203,0.8957832398015435,0.004042994147944203,201
50,29.073668956756592,1.2035713208193188,0.06951360702514649,0.0067863013724095535,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",1.0,5.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 1}",0.8930272884001402,0.9021168474122522,0.8908538144367022,0.8943446947190262,0.8984219197320802,0.8957529129400402,0.0040258299283122455,202
309,143.07681965827942,4.327231024141773,4.191013145446777,0.7976710695822707,"RandomForestClassifier(n_jobs=-1, random_state=42)",,SMOTE(random_state=42),"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42))",,5.0,25.0,1.0,1.25*mean,"{'classifier': RandomForestClassifier(n_jobs=-1, random_state=42), 'classifier__max_depth': 25, 'classifier__min_samples_leaf': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42)), 'selector__threshold': '1.25*mean'}",0.8972968450508834,0.8987823820267948,0.8921779740362628,0.8924209114316066,0.8980702749419327,0.895749677497496,0.0028570595316098203,203
310,143.25312690734864,4.420498037212265,5.083915281295776,0.8662109248993787,"RandomForestClassifier(n_jobs=-1, random_state=42)",,SMOTE(random_state=42),"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42))",,5.0,25.0,1.0,1.5*mean,"{'classifier': RandomForestClassifier(n_jobs=-1, random_state=42), 'classifier__max_depth': 25, 'classifier__min_samples_leaf': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42)), 'selector__threshold': '1.5*mean'}",0.8972968000209658,0.8987823820267948,0.8921779740362628,0.8924209114316066,0.8980702749419327,0.8957496684915125,0.002857054654702286,204
49,7.140794181823731,0.8583364132772363,0.06259784698486329,0.004709246250335797,"LogisticRegression(max_iter=2000, random_state=42)",0.1,SMOTE(random_state=42),"SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear'))",0.1,5.0,,,,"{'classifier': LogisticRegression(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 5, 'selector': SelectFromModel(estimator=LogisticRegression(max_iter=2000, penalty='l1',
                                             random_state=42,
                                             solver='liblinear')), 'selector__estimator__C': 0.1}",0.8924733303559551,0.9027175465107262,0.8909658078107275,0.8943789049136643,0.8981308629971732,0.8957332905176493,0.0042360070243641955,205
315,144.27425036430358,8.197950851517888,5.582050037384033,2.1262714221500594,"RandomForestClassifier(n_jobs=-1, random_state=42)",,SMOTE(random_state=42),"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42))",,7.0,25.0,1.0,,"{'classifier': RandomForestClassifier(n_jobs=-1, random_state=42), 'classifier__max_depth': 25, 'classifier__min_samples_leaf': 1, 'resampler': SMOTE(random_state=42), 'resampler__k_neighbors': 7, 'selector': SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=42)), 'selector__threshold': None}",0.8984995040855194,0.8983776981588798,0.8934495579682746,0.8914819316156214,0.8968300203460631,0.8957277424348717,0.0027977483288320255,206
